Angle,Radians,X,Y
0,0,1,0
30,0.5235987756,0.8660254038,0.5
45,0.7853981634,0.7071067812,0.7071067812
60,1.047197551,0.5,0.8660254038
90,1.570796327,6.123233996e-17,1
120,2.094395102,-0.5,0.8660254038
135,2.35619449,-0.7071067812,0.7071067812
150,2.617993878,-0.8660254038,0.5
180,3.141592654,-1,1.224646799e-16
210,3.665191429,-0.8660254038,-0.5
225,3.926990817,-0.7071067812,-0.7071067812
240,4.188790205,-0.5,-0.8660254038
270,4.71238898,-1.836970199e-16,-1
300,5.235987756,0.5,-0.8660254038
315,5.497787144,0.7071067812,-0.7071067812
330,5.759586532,0.8660254038,-0.5
360,6.283185307,1,-2.449293598e-16
